GrowthDay,Low_1,High_1,Low_2,High_2,Low_3,High_3,Low_4,High_4,Low_5,High_5,Low_6,High_6,Low_7,High_7,Low_8,High_8,Low_9,High_9,Low_10,High_10,Low_11,High_11,Low_12,High_12,Low_13,High_13,Low_14,High_14,Low_15,High_15,Low_16,High_16,
34       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
35       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
36       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
37       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
38       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
39       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
40       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
41       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
42       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
43       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
44       ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00,00:00 ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,00:00 ,00:00  ,
